operation,time
read, 0.003777
read, 0.000059
read, 0.000018
read, 0.004347
read, 0.000098
read, 0.000018
read, 0.004097
read, 0.000102
read, 0.000018
read, 0.008219
read, 0.000294
read, 0.000080
read, 0.004322
read, 0.000080
read, 0.000020
read, 0.003684
read, 0.000117
read, 0.000018
read, 0.004603
read, 0.000098
read, 0.000018
read, 0.008197
read, 0.000289
read, 0.000080
read, 0.003758
read, 0.000066
read, 0.000018
read, 0.008209
read, 0.000277
read, 0.000098
read, 0.003936
read, 0.000068
read, 0.000017
read, 0.003890
read, 0.000134
read, 0.000018
read, 0.008175
read, 0.000300
read, 0.000079
