operation,time
write,71528
read,3354675
write,63297
read,2445248
read,4895074
write,236604
write,20862
read,3460940
read,45298
write,192107
write,28858
read,1284268
read,60898
write,126512
write,22461
read,1309363
read,31238
write,97855
write,19625
read,2009411
read,38791
write,81967
read,1022034
write,46697
read,38521
write,63890
write,15276
read,1265936
read,25747
write,40538
write,12479
read,1289922
read,21209
write,36174
read,1272275
write,69551
write,74070
read,3377606
write,66088
read,492131
read,4911955
write,234311
write,21856
read,3354636
read,47966
write,215194
write,28237
read,2118448
read,48218
write,162366
write,55437
read,1368781
read,32643
write,96543
read,2064243
write,51493
read,64796
write,103192
write,15219
read,1212018
read,38982
write,74545
write,20422
read,1336167
read,24860
write,45838
write,15880
read,1556235
read,15762
write,21185
read,1498776
write,53854
write,83396
read,3384401
write,62169
read,4527492
read,4974145
write,260788
write,23722
read,3137665
read,50376
write,217046
write,31076
read,2236323
read,51464
write,121155
write,18167
read,1849427
read,27384
write,121203
write,50313
read,1787773
read,57683
write,79438
write,14400
read,1073388
read,27754
write,62817
write,15261
read,1131556
read,25326
write,41094
write,12125
read,1282714
read,15115
write,21118
read,1244336
write,49378
write,74739
read,3381279
write,65975
read,714030
read,4895181
write,257804
write,20901
read,2637041
read,46850
write,178645
write,30135
read,1470401
read,60584
write,119673
write,23598
read,1190810
read,31013
write,98015
write,16360
read,1951248
read,43216
write,83588
read,1017468
write,48363
read,36404
write,64956
write,15557
read,1256265
read,27462
write,42181
write,11898
read,1267352
read,16819
write,20486
read,1289851
write,57962
read,3434529
write,79772
write,84142
read,50328
read,4982350
write,261249
write,29285
read,2647860
read,93369
write,23680
write,290556
read,6041
read,56114
write,123819
write,29347
read,1946688
read,51181
write,109046
write,22933
read,2217007
read,38060
write,85225
read,1273486
write,50417
read,38835
write,72784
write,17724
read,1576342
read,36898
write,41635
write,17220
read,1567125
read,19826
write,23872
read,1630755
write,52119
write,76227
read,3506828
write,81654
read,2004848
read,5063082
write,261766
write,26020
read,3448414
read,49206
write,248995
read,606196
write,29323
read,44316
write,120836
write,22125
read,1416536
read,50422
write,97319
write,49891
read,1952471
read,61285
write,81056
write,17832
read,1381771
read,25651
write,58453
write,17411
read,1453942
read,26659
write,38931
write,14290
read,1702962
read,17368
write,18898
read,1612923
write,55579
write,101150
read,3719679
write,98313
read,5279791
read,4901215
write,263411
write,19536
read,3407639
read,50790
write,184111
read,909827
write,34153
read,46575
write,144173
read,2482849
write,34173
read,34583
write,96982
write,28972
read,3409457
read,37362
write,95807
read,1721278
write,50626
read,35716
write,67544
write,19425
read,1766508
read,26875
write,40845
write,12730
read,1661749
read,15722
write,23962
read,1571322
write,48743
write,77528
read,3436983
write,62632
read,344572
read,5095160
write,263933
write,25366
read,3261720
read,48573
write,187094
write,28072
read,2310666
read,35620
write,106715
write,21135
read,2062163
read,28589
write,107332
write,18988
read,2193749
read,38730
write,79514
read,1233074
write,46778
read,36788
write,59899
write,17724
read,1553856
read,28737
write,40231
write,11666
read,1664894
read,15664
write,19644
read,1575307
write,51694
read,3420504
write,78431
write,74999
read,35918
read,5183951
write,233919
write,27359
read,3209873
read,65551
write,215552
write,27989
read,842654
read,70933
write,117256
write,19347
read,1917852
read,38595
write,95885
write,16674
read,1997432
read,36679
write,77207
read,1041273
write,47300
read,34286
write,64532
write,17622
read,1260066
read,23108
write,36546
write,12357
read,1289314
read,18297
write,23701
read,1244393
write,47827
write,77557
read,3475683
write,71673
read,1087755
read,5011190
write,287852
write,18787
read,3387149
read,46255
write,187251
write,34537
read,1242760
read,75391
write,132014
write,26649
read,1355183
read,36006
write,108074
write,20483
read,1970851
read,34087
write,86519
read,1064142
write,48627
read,50760
write,62413
write,16143
read,1260197
read,27997
write,43844
write,11550
read,1240104
read,18108
write,23580
read,1262649
write,49732
write,76574
read,3408897
write,66477
read,515729
read,4834967
write,229959
write,27748
read,3388460
read,62149
write,197835
write,25015
read,1165432
read,36398
write,125921
write,28769
read,1360964
read,34948
write,104923
write,21035
read,1977491
read,40712
write,76932
read,1627440
write,52079
read,43120
write,64276
write,17884
read,1239355
read,28040
write,39824
write,11512
read,1257922
read,16263
write,23945
read,1202171
write,47949
read,3352006
write,68794
write,79975
read,49915
read,8758784
write,267100
write,23646
read,3301425
read,48766
write,244624
write,29457
read,1565204
read,51860
write,155006
write,24532
read,1220898
read,37352
write,119942
write,24785
read,1844962
read,35764
write,82146
read,1022867
write,49875
read,47857
write,72654
write,17158
read,1164064
read,24276
write,46369
write,19852
read,1228675
read,25657
write,24946
read,1249037
write,54351
write,79432
read,3358963
write,61300
read,381153
read,5155844
write,268432
write,23026
read,3483859
read,50144
write,181660
write,25581
read,1245018
read,39555
write,122829
write,19082
read,1489501
read,31876
write,96298
write,17566
read,2001370
read,33952
write,82937
read,1414933
write,49341
read,31793
write,66901
write,16011
read,1268967
read,25508
write,40164
write,12091
read,1282852
read,16139
write,23648
read,1235401
write,47412
read,3376080
write,79794
write,67377
read,117436
read,4945186
write,261035
write,32068
read,2724696
read,97623
write,27754
write,274466
read,5915
